segment,prodid
leaver,31272
COMPARER,38815
SHOPPING_CART,
LEAVER,40100-roze
BROWSER,34092-paars
,
buyer,41825
BOUNCER,45281
JUDGER,45111
BUYER,
judger,
browser,
FUN_SHOPPER,
comparator,
bouncer,
